"","species","sp_type","Genus_nam","Species_nam","SPCD","wood_density_gcm3_Forrester","wood_density_zanne_2009_gcm3","wood_density_gcm3","SLA_cm2g_mean"
"1","99","99",NA,"",NA,NA,NA,NA,NA
"2","Abies","coniferous","Abies","","ABIES",NA,NA,NA,NA
"3","Abies alba","coniferous","Abies","alba","ABIALB",0.35301,0.353,0.353,90.84
"4","Acer","broadleaved","Acer","","ACER",NA,0.515125,0.515,207.27
"5","Acer campestre","broadleaved","Acer","campestre","ACECAM",NA,0.525,0.525,NA
"6","Acer heldreichii","broadleaved","Acer","heldreichii","ACEHEL",NA,NA,NA,NA
"7","Acer monspessulanum","broadleaved","Acer","monspessulanum","ACEMON",NA,NA,NA,NA
"8","Acer obtusatum","broadleaved","Acer","obtusatum","ACEOBT",0.51,NA,0.51,196.3
"9","Acer obtusifolium","broadleaved","Acer","obtusifolium","ACEOBFO",NA,NA,NA,NA
"10","Acer platanoides","broadleaved","Acer","platanoides","ACEPLA",0.51,0.5165,0.516,241
"11","Acer pseudoplatanus","broadleaved","Acer","pseudoplatanus","ACEPSE",0.50799,0.509,0.509,184.49
"12","Alnus","broadleaved","Alnus","","ALNUS",NA,NA,NA,NA
"13","Alnus glutinosa","broadleaved","Alnus","glutinosa","ALNGLU",0.43911,0.439,0.439,158.55
"14","Alnus viridis","broadleaved","Alnus","viridis","ALNVIR",NA,NA,NA,NA
"15","Betula","broadleaved","Betula","","BETULA",0.52521,NA,0.525,NA
"16","Betula pendula","broadleaved","Betula","pendula","BETPEN",0.52521,0.525,0.525,133.83
"17","Broadleaves","broadleaved","Broadleaves","","ANGIO",NA,NA,NA,NA
"18","Carpinus betulus","broadleaved","Carpinus","betulus","CARBET",0.693105,0.693,0.693,198.25
"19","Clematis vitalba","broadleaved","Clematis","vitalba","CLEVIT",NA,NA,NA,NA
"20","Coniferous","coniferous","Coniferous","","GYMNO",NA,NA,NA,NA
"21","Cornus mas","broadleaved","Cornus","mas","CORMAS",NA,NA,NA,NA
"22","Corylus","broadleaved","Corylus","","CORYLUS",NA,NA,NA,NA
"23","Corylus avellana","broadleaved","Corylus","avellana","CORAVE",NA,0.517,0.517,321
"24","Cotinus coggygria","broadleaved","Cotinus","coggygria","COTCOG",NA,NA,NA,NA
"25","Crataegus","broadleaved","Crataegus","","CRATAEGUS",NA,NA,NA,NA
