"","treeid","tree_id","location","stand","plotid","plot_id","growth","layer","onplot","x_m","y_m","dbh_mm","decay","species","sp_group_dist","sp_type","treetype","status","status_re","layer_re","growth_re","lat","lng","lord","date","date_re","SPCD","wood_density_gcm3_Forrester","wood_density_zanne_2009_gcm3","wood_density_gcm3","SLA_cm2g_mean"
"1","ALB_CUR_001_1_001",62638,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,0,11,1,-3.745,-1.741,302,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,1,11,0,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"2","ALB_CUR_001_1_002",62639,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,1,11,1,-4.074,-2.882,405,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,1,11,1,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"3","ALB_CUR_001_1_003",62640,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,1,11,1,-3.298,-3.377,346,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,1,11,0,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"4","ALB_CUR_001_1_004",62641,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,1,11,1,-0.835,-4.564,338,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,1,11,0,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"5","ALB_CUR_001_1_005",62642,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,1,11,1,-0.857,-6.322,341,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,1,11,0,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"6","ALB_CUR_001_1_007",62644,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,0,12,1,-3.787,-5.209,293,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,1,12,0,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"7","ALB_CUR_001_1_009",62646,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,0,12,1,-5.268,-4.363,323,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,1,12,0,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"8","ALB_CUR_001_1_010",62647,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,1,11,1,-6.658,-3.276,518,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,1,11,1,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"9","ALB_CUR_001_1_011",62648,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,1,11,1,-5.694,-0.422,225,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,2,12,0,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
"10","ALB_CUR_001_1_012",62649,"Prokletije Mountains","Curraj i Eperm","ALB_CUR_001_1",5,0,12,2,-0.79,8.905,91,-1,"Fagus sylvatica","Fagus","broadleaved","0",1,2,13,0,42.3609147112,19.8664328627,"live",2016,2021,"FAGSYL",0.58548,0.585,0.585,215.37
