plotid,year,ca_pct,year_min,year_max,ncores,kde,type,peak,stand
ALB_CUR_001_1,1869,0,1869,2005,6,1.4161352755444943,full,no,ALB-CUR
ALB_CUR_001_1,1870,0,1869,2005,6,2.0100496312182115,full,no,ALB-CUR
ALB_CUR_001_1,1871,0,1869,2005,6,2.867455619455001,full,no,ALB-CUR
ALB_CUR_001_1,1872,0,1869,2005,6,3.8146806936840676,full,no,ALB-CUR
ALB_CUR_001_1,1873,0,1869,2005,6,4.899520380932542,full,no,ALB-CUR
ALB_CUR_001_1,1874,0,1869,2005,6,6.080080635150316,full,no,ALB-CUR
ALB_CUR_001_1,1875,0,1869,2005,6,7.295466070516731,full,no,ALB-CUR
ALB_CUR_001_1,1876,0,1869,2005,6,8.471892087205072,full,no,ALB-CUR
ALB_CUR_001_1,1877,0,1869,2005,6,9.628958599224385,full,no,ALB-CUR
ALB_CUR_001_1,1878,0,1869,2005,6,10.561859612821566,full,no,ALB-CUR
ALB_CUR_001_1,1879,2.7281379547455944,1869,2005,6,11.46031925379169,full,no,ALB-CUR
ALB_CUR_001_1,1880,2.55315607446558,1869,2005,6,12.049794015822723,full,no,ALB-CUR
ALB_CUR_001_1,1881,0,1869,2005,6,12.447669351950202,full,no,ALB-CUR
ALB_CUR_001_1,1882,2.4025706171205004,1869,2005,6,12.689344932055352,full,no,ALB-CUR
ALB_CUR_001_1,1883,0,1869,2005,6,12.824760798101725,full,no,ALB-CUR
ALB_CUR_001_1,1884,0,1869,2005,6,12.908062572921464,full,no,ALB-CUR
ALB_CUR_001_1,1885,0,1869,2005,6,12.984432907810705,full,no,ALB-CUR
ALB_CUR_001_1,1886,4.040455868236527,1869,2005,6,13.078750968822975,full,no,ALB-CUR
ALB_CUR_001_1,1887,0,1869,2005,6,13.188922547378,full,no,ALB-CUR
ALB_CUR_001_1,1888,0,1869,2005,6,13.28470445573979,full,no,ALB-CUR
ALB_CUR_001_1,1889,0,1869,2005,6,13.311524649701758,full,yes,ALB-CUR
ALB_CUR_001_1,1890,0,1869,2005,6,13.20262637434469,full,no,ALB-CUR
ALB_CUR_001_1,1891,0,1869,2005,6,12.894173007991517,full,no,ALB-CUR
ALB_CUR_001_1,1892,3.2763839001678865,1869,2005,6,12.340065792714912,full,no,ALB-CUR
ALB_CUR_001_1,1893,0,1869,2005,6,11.524624500311392,full,no,ALB-CUR
ALB_CUR_001_1,1894,6.146814092688632,1869,2005,6,10.453131408584095,full,no,ALB-CUR
ALB_CUR_001_1,1895,0,1869,2005,6,9.281406653974342,full,no,ALB-CUR
ALB_CUR_001_1,1896,0,1869,2005,6,7.98656535788296,full,no,ALB-CUR
ALB_CUR_001_1,1897,0,1869,2005,6,6.679089344292543,full,no,ALB-CUR
ALB_CUR_001_1,1898,0,1869,2005,6,5.4830442756038975,full,no,ALB-CUR
ALB_CUR_001_1,1899,0,1869,2005,6,4.455659986495837,full,no,ALB-CUR
ALB_CUR_001_1,1900,0,1869,2005,6,3.7200760183924397,full,no,ALB-CUR
ALB_CUR_001_1,1901,0,1869,2005,6,3.186068472831196,full,no,ALB-CUR
ALB_CUR_001_1,1902,0,1869,2005,6,2.94291221286189,full,no,ALB-CUR
ALB_CUR_001_1,1903,0,1869,2005,6,2.9327082779633176,full,no,ALB-CUR
ALB_CUR_001_1,1904,0,1869,2005,6,3.114839684112766,full,no,ALB-CUR
ALB_CUR_001_1,1905,0,1869,2005,6,3.512288776615302,full,no,ALB-CUR
ALB_CUR_001_1,1906,0,1869,2005,6,3.96314198206258,full,no,ALB-CUR
ALB_CUR_001_1,1907,0,1869,2005,6,4.5639811209862495,full,no,ALB-CUR
ALB_CUR_001_1,1908,0,1869,2005,6,5.146377524872912,full,no,ALB-CUR
ALB_CUR_001_1,1909,0,1869,2005,6,5.695273552468854,full,no,ALB-CUR
ALB_CUR_001_1,1910,2.7281379547455944,1869,2005,6,6.442430631608593,full,no,ALB-CUR
ALB_CUR_001_1,1911,0,1869,2005,6,7.399765818775156,full,no,ALB-CUR
ALB_CUR_001_1,1912,0,1869,2005,6,8.406610363533588,full,no,ALB-CUR
ALB_CUR_001_1,1913,0,1869,2005,6,9.534258144203463,full,no,ALB-CUR
ALB_CUR_001_1,1914,0,1869,2005,6,11.019257182233483,full,no,ALB-CUR
ALB_CUR_001_1,1915,2.348432447132177,1869,2005,6,12.74249927011795,full,no,ALB-CUR
ALB_CUR_001_1,1916,0,1869,2005,6,14.79127850983525,full,no,ALB-CUR
ALB_CUR_001_1,1917,0,1869,2005,6,17.240531945598388,full,no,ALB-CUR
ALB_CUR_001_1,1918,0,1869,2005,6,20.080564157747368,full,no,ALB-CUR
ALB_CUR_001_1,1919,0,1869,2005,6,22.996654959930446,full,no,ALB-CUR
ALB_CUR_001_1,1920,2.55315607446558,1869,2005,6,26.01591964678816,full,no,ALB-CUR
ALB_CUR_001_1,1921,0,1869,2005,6,28.871133574930305,full,no,ALB-CUR
ALB_CUR_001_1,1922,4.040455868236527,1869,2005,6,31.49295320001055,full,no,ALB-CUR
ALB_CUR_001_1,1923,0,1869,2005,6,33.603920207202755,full,no,ALB-CUR
ALB_CUR_001_1,1924,0,1869,2005,6,35.117267044367075,full,no,ALB-CUR
ALB_CUR_001_1,1925,5.678954517288388,1869,2005,6,35.93815751162579,full,no,ALB-CUR
ALB_CUR_001_1,1926,9.787858578976765,1869,2005,6,36.07503471041588,full,yes,ALB-CUR
ALB_CUR_001_1,1927,3.676337525454201,1869,2005,6,35.5348733387336,full,no,ALB-CUR
ALB_CUR_001_1,1928,0,1869,2005,6,34.3897373691232,full,no,ALB-CUR
ALB_CUR_001_1,1929,3.9344914662523216,1869,2005,6,32.733620651508765,full,no,ALB-CUR
ALB_CUR_001_1,1930,0,1869,2005,6,30.655754473668928,full,no,ALB-CUR
ALB_CUR_001_1,1931,0,1869,2005,6,28.28242780931635,full,no,ALB-CUR
ALB_CUR_001_1,1932,3.1926351062924794,1869,2005,6,25.682005743683455,full,no,ALB-CUR
ALB_CUR_001_1,1933,6.328019506953698,1869,2005,6,22.935235212426146,full,no,ALB-CUR
ALB_CUR_001_1,1934,0,1869,2005,6,20.1182910692883,full,no,ALB-CUR
