"plotid","date_census_1","date_census_2"
"ALB_CUR_001_1",2016,2021
"ALB_CUR_001_2",2016,2021
"ALB_CUR_002_1",2016,2021
"ALB_CUR_002_2",2016,2021
"ALB_CUR_003_1",2016,2021
"ALB_CUR_003_2",2016,2021
"ALB_CUR_004_1",2016,2021
"ALB_CUR_004_2",2016,2021
"ALB_CUR_005_1",2016,2021
"ALB_CUR_005_2",2016,2021
"ALB_CUR_006_1",2016,2021
"ALB_CUR_006_2",2016,2021
"ALB_CUR_007_1",2016,2021
"ALB_CUR_007_2",2016,2021
"ALB_LUM_001_1",2016,2021
"ALB_LUM_001_2",2016,2021
"ALB_LUM_002_1",2016,2021
"ALB_LUM_002_2",2016,2021
"ALB_LUM_003_1",2016,2021
"ALB_LUM_003_2",2016,2021
"ALB_LUM_004_1",2016,2021
"ALB_LUM_004_2",2016,2021
"ALB_LUM_005_1",2016,2021
"ALB_LUM_005_2",2016,2021
"ALB_LUM_006_1",2016,2021
"ALB_LUM_006_2",2016,2021
"ALB_LUM_007_1",2016,2021
"ALB_LUM_007_2",2016,2021
"BOS_PER_055_1",2016,2021
"BOS_PER_055_2",2016,2021
"BOS_PER_076_1",2016,2021
"BOS_PER_076_2",2016,2021
"BOS_PER_077_1",2016,2021
"BOS_PER_077_2",2016,2021
"BOS_PER_098_1",2016,2021
"BOS_PER_098_2",2016,2021
"BOS_PER_099_1",2016,2021
"BOS_PER_099_2",2016,2021
"BOS_PER_115_1",2016,2021
"BOS_PER_115_2",2016,2021
"BOS_PER_116_1",2016,2021
"BOS_PER_116_2",2016,2021
"BOS_PER_119_1",2016,2021
"BOS_PER_119_2",2016,2021
"BOS_PER_120_1",2016,2021
"BOS_PER_120_2",2016,2021
"BOS_PER_136_1",2016,2021
"BOS_PER_136_2",2016,2021
"BOS_PER_137_1",2016,2021
"BOS_PER_137_2",2016,2021
"BOS_PER_138_1",2016,2021
"BOS_PER_138_2",2016,2021
"BOS_PER_157_1",2016,2021
"BOS_PER_157_2",2016,2021
"BOS_PER_158_1",2016,2021
"BOS_PER_158_2",2016,2021
"BOS_PER_159_1",2016,2021
"BOS_PER_159_2",2016,2021
"BOS_PER_160_1",2016,2021
"BOS_PER_160_2",2016,2021
"BOS_PER_178_1",2016,2021
"BOS_PER_178_2",2016,2021
"BOS_PER_179_1",2016,2021
"BOS_PER_179_2",2016,2021
"BOS_PER_180_1",2016,2021
"BOS_PER_180_2",2016,2021
"BOS_PER_201_1",2016,2021
"BOS_PER_201_2",2016,2021
"BOS_PER_202_1",2016,2021
"BOS_PER_202_2",2016,2021
"BUL_BOA_412_1",2017,2022
"BUL_BOA_412_2",2017,2022
"BUL_BOA_472_1",2017,2022
"BUL_BOA_472_2",2017,2022
"BUL_BOA_474_1",2017,2022
"BUL_BOA_474_2",2017,2022
"BUL_BOA_532_1",2017,2022
"BUL_BOA_532_2",2017,2022
"BUL_BOA_592_1",2017,2022
