country,stand,subplot,plotid,plot_id,growth,treeid,tree_id,sp_type,species,dbh_mm,year_min,year_max,event,year,date,ca_m2
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_002,73158,broadleaved,Fagus sylvatica,580,1845,2004,gap,1842,2015,65.97706632481453
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_002,73158,broadleaved,Fagus sylvatica,580,1845,2004,release,1880,2015,65.97706632481453
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_003,73159,broadleaved,Fagus sylvatica,535,1857,2004,release,1869,2015,58.96408603521352
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_008,73164,broadleaved,Fagus sylvatica,612,1846,2004,no event,1841,2015,71.20375237360163
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_017,73173,broadleaved,Fagus sylvatica,310,1836,2004,gap,1834,2015,29.808449584388345
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_026,73182,broadleaved,Fagus sylvatica,759,1834,2004,no event,1826,2015,97.77335564677357
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_027,73183,broadleaved,Fagus sylvatica,459,1845,2004,gap,1845,2015,48.01445349531233
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_027,73183,broadleaved,Fagus sylvatica,459,1845,2004,release,1897,2015,48.01445349531233
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_029,73185,broadleaved,Fagus sylvatica,444,1764,2004,release,1844,2015,45.98611788751994
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_044,73200,broadleaved,Fagus sylvatica,491,1851,2004,release,1874,2015,52.48786632371815
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_045,73201,broadleaved,Fagus sylvatica,451,1849,2004,gap,1846,2015,46.92722728078862
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_045,73201,broadleaved,Fagus sylvatica,451,1849,2004,release,1877,2015,46.92722728078862
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_056,73212,broadleaved,Fagus sylvatica,485,1850,2004,gap,1847,2015,51.63392700951043
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_056,73212,broadleaved,Fagus sylvatica,485,1850,2004,release,1898,2015,51.63392700951043
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_1,60,1,CRO_RAM_079_1_057,73213,broadleaved,Fagus sylvatica,592,1837,2004,gap,1833,2015,67.9137283486764
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_001,73222,broadleaved,Fagus sylvatica,536,1859,2004,gap,1859,2015,74.62135531528911
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_008,73229,broadleaved,Fagus sylvatica,336,1836,2004,gap,1836,2015,44.43336223321457
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_009,73230,broadleaved,Fagus sylvatica,563,1769,2004,release,1790,2015,79.29291356108462
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_009,73230,broadleaved,Fagus sylvatica,563,1769,2004,release,1844,2015,79.29291356108462
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_015,73236,broadleaved,Fagus sylvatica,468,1834,2004,gap,1834,2015,63.48432552557823
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_015,73236,broadleaved,Fagus sylvatica,468,1834,2004,release,1874,2015,63.48432552557823
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_017,73238,broadleaved,Fagus sylvatica,530,1843,2004,gap,1839,2015,73.60249108732533
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_017,73238,broadleaved,Fagus sylvatica,530,1843,2004,release,1880,2015,73.60249108732533
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_019,73240,broadleaved,Fagus sylvatica,480,1776,2004,release,1838,2015,65.38431703934923
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_030,73251,broadleaved,Fagus sylvatica,792,1762,2004,release,1804,2015,124.61711335270319
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_030,73251,broadleaved,Fagus sylvatica,792,1762,2004,release,1842,2015,124.61711335270319
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_034,73255,broadleaved,Fagus sylvatica,609,1751,2004,release,1803,2015,87.57850352487672
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_034,73255,broadleaved,Fagus sylvatica,609,1751,2004,release,1840,2015,87.57850352487672
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_050,73271,broadleaved,Fagus sylvatica,322,1795,2004,release,1838,2015,42.61162918547842
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_053,73274,broadleaved,Fagus sylvatica,297,1807,2004,release,1838,2015,39.453374512888445
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_056,73277,broadleaved,Fagus sylvatica,263,1836,2004,no event,1828,2015,35.35327549288778
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_057,73278,broadleaved,Fagus sylvatica,314,1841,2002,gap,1838,2015,41.58775871840408
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_058,73279,broadleaved,Fagus sylvatica,472,1841,2004,gap,1838,2015,64.11454333091078
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_058,73279,broadleaved,Fagus sylvatica,472,1841,2004,release,1902,2015,64.11454333091078
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_059,73280,broadleaved,Fagus sylvatica,390,1830,2004,gap,1830,2015,51.817229085740685
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_059,73280,broadleaved,Fagus sylvatica,390,1830,2004,release,1874,2015,51.817229085740685
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_061,73282,broadleaved,Fagus sylvatica,444,1840,2004,gap,1840,2015,59.76838537799607
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_061,73282,broadleaved,Fagus sylvatica,444,1840,2004,release,1905,2015,59.76838537799607
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_062,73283,broadleaved,Fagus sylvatica,290,1841,1997,gap,1839,2015,38.590852099367666
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_078,73299,broadleaved,Fagus sylvatica,375,1845,2004,gap,1844,2015,49.70925092673281
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_085,73306,broadleaved,Fagus sylvatica,412,1839,2004,gap,1839,2015,54.98810967298851
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_085,73306,broadleaved,Fagus sylvatica,412,1839,2004,release,1874,2015,54.98810967298851
Croatia,CRO-RAM,CRO_RAM_079,CRO_RAM_079_2,61,1,CRO_RAM_079_2_088,73309,broadleaved,Fagus sylvatica,462,1835,2004,gap,1834,2015,62.544835128687694
